codigo,descripcion,unidades_por_bulto
004637,AGUARDIENTE ANTIOQUEÑO S/A 750 ML,1
002225,AGUARDIENTE TUCACAS 40º 1 LT,12
000166,AJI DULCE KG,1
000577,AJI PICANTE KG,1
005257,AJO CRIOLLO KG,1
000488,AJO EN MALLA,1
004438,AJO EN POLVO LA COMADRE 65 GR,12
001323,AJO HIERBAS MC CORMICK 105 GR,6
000165,AJO KG,1
004053,AJO MIX MC CORMICK 100 GR,6
001337,AJO MOLIDO MC CORMICK 92 GR,6
000411,AJO PELADO 100 GR,1
000432,AJO PELADO 150 GR,1
001336,AJO PICADO MC CORMICK 83 GR,6
000146,AJO PORRO KG,1
001324,AJO ROSTIZADO MC CORMICK 116 GR,6
000313,ALAS DE POLLO GRANJA KG,1
000024,ALAS DE POLLO PUROLOMO KG,1
000121,ALBAHACA KG,1
003181,ALBAHACA PAQUETE,1
003836,ALBECA SALSA DE MAIZ 220G,24
004283,ALBONDIGAS TAURUS 480 GR (NO USAR),1
002267,ALCACHOFA KG,1
001436,ALCAPARRA CARPERS EUREKA 500 GR,1
000301,ALCAPARRA EN SAL KG,35
001435,ALCAPARRAS EUREKA 200 GR,1
003936,ALCOHOL ANTISEPTICO SANTA TERESA 70% 700 ML,12
003101,ALFALFA BANDEJA,1
004589,ALIMENTO LACTEO EN POLVO VILLA LACTEA 400 GR,1
003157,ALMENDRA CON PIEL KG,10
004035,AMANECER AZÚCAR REFINADA 1KG,20
004838,AMBIENTADOR CAMPOS DE LAVANDA GLADE 235 ML,12
004071,AMBIENTADOR CAMPOS DE LAVANDA GLADE 360 ML,12
004072,AMBIENTADOR MANZANA Y CANELA GLADE 360 ML,12
005284,AMBIENTADOR OCEANO VALE 300 ML,12
005285,AMBIENTADOR PRIMAVERA VALE 300 ML,12
005283,AMBIENTADOR VAINILLA VALE 300 ML,12
002227,ANIS BLUE ENERGY ELECTRICO 1 LT,12
002178,ANIS BUDU BANDERA 1 LT,12
004808,ANIS CARTUJO 1 LT,1
002342,ANIS COCTEL BUDU BANDERA 1 LT,12
002177,ANIS DIAMANTE BANDERA 1 LT,1
002228,ANIS ELECTRICO LOVE ENERGY 1 LT,12
002244,ANIS ESTAXPLOTADA BOMBONA 1 LT,12
002316,ANIS MONTE CARMELO 1 LT,1
002226,ANIS ORIGINAL ENERGY ELECTRICO 1 LT,12
004119,ANIS ROMANA SAMBUCA 1 LT,12
002179,ANIS SABOR A MORA PETARE BANDERA 1 LT,6
002232,ANIS YELLOW ENERGY ELECTRICO 1 LT,12
004511,ANTITRANSPIRANTE ROLL-ON CABALLERO GRANJA 90 GR,24
004512,ANTITRANSPIRANTE ROLL-ON DAMAS GRANJA 90 GR,24
004329,APERITIVO DAL APEROL 1919 1 LT,6
004411,APERITIVO READY TO DRINK SPRITZ SANTERO 9-5-8 LATA 250 ML,24
002915,APERITIVO SPRITZ SANTERO 9-5-8 750 ML,6
000145,APIO KG,1
000566,ARANDANOS BANDEJA,1
004913,AREQUIPE CAMPONESA 300 GR,12
003134,AREQUIPE CLASICO WEPA 230 GR,12
003135,AREQUIPE CON STEVIA S/A WEPA 230 GR,1
000696,AREQUIPE DON DULCITO 330 GR,1
003654,AREQUIPE JIRAFA PIAZZA COLOMBINA 11 GR,1
001934,AROS DE MAIZ RINGOS MUNCHY 180 GR,10
001923,AROS DE MAIZ RINGOS MUNCHY 62 GR,20
002327,ARROZ A GRANEL 3 KG,1
002962,ARROZ A GRANEL 500 GR,1
000797,ARROZ BLANCO CLASICO PRIMOR 1 KG,1
004922,ARROZ BLANCO CLASICO SUPERIOR PRIMOR 900 GR,24
002024,ARROZ BLANCO TIPO I COGOYAL 1 KG,1
004238,ARROZ BLANCO TIPO I COGOYAL 900 GR,24
002215,ARROZ BLANCO TIPO I INNOVA 1 KG,1
001984,ARROZ BLANCO TIPO I LLANO VERDE 1 KG,1
004335,ARROZ BLANCO TIPO I LLANO VERDE 800 GR,24
000838,ARROZ BLANCO TRAD. TIPO I PRIMOR 1 KG,1
001751,ARROZ CANILLA TIPO I LA LUCHA 1 KG,24
001617,ARROZ DORADO MARY 800 GR,30
001613,ARROZ ESMERALDA MARY 900 GR,24
001601,ARROZ INTEGRAL MARY 800 GR,30
001614,ARROZ PREMIUM MARY 900 GR,24
001874,ARROZ PREMIUM SANTONI 900 GR,24
003498,ARROZ SUPERIOR MARY 500 GR,1
001600,ARROZ SUPERIOR TIPO I MARY 1 KG,1
001615,ARROZ SUPERIOR TIPO I MARY 900 GR,24
004767,ARROZ TIPO I MONICA 900 GR,24
001602,ARROZ TRADICIONAL MARY 1 KG,1
001616,ARROZ TRADICIONAL MARY 900 GR,24
004542,ARVEJAS LA LUCHA 400 GR,24
001611,ARVEJAS VERDES MARY 400 GR,30
004779,ARVEJA VERDE PARTIDA EL MAIZALITO 400 GR,30
005310,ARVEJA VERDE PARTIDA PANTERA 400 GR,24
005251,ARVEJA VERDE PARTIDA PANTERA 900 GR,24
001885,ARVEJA VERDE PARTIDA VICONE 400GR,1
004378,ATUN AL NATURAL MARGARITA 170 GR,1
002128,ATUN BONITO CON VEGETALES MARGARITA 165 GR,1
000837,ATUN EN ACEITE CALIFORNIA 140 GR,35
000591,ATUN EN ACEITE LA ORCHILA 160 GR,48
000829,ATUN EN ACEITE MARGARITA 140 GR,35
002757,ATUN EN ACEITE ROBIN HOOD 175 GR,1
000592,ATUN EN AGUA LA ORCHILA 160 GR,48
000831,ATUN NATURAL MARGARITA 140 GR,35
002131,ATUN TROZOS EN ACEITE MARGARITA 170 GR,24
000144,AUYAMA KG,1
003198,AVENA A GRANEL 200 GR,1
000855,AVENA CON LECHE UHT PARMALAT 1 LT,12
001428,AVENA CON VAINILLA QUAKER CASERA 400 GR,1
002325,AVENA EN HARINA WEPA 200 GR,24
001424,AVENA EN HOJUELAS DON PACHO 800 GR,1
002219,AVENA EN HOJUELAS GRAVENCA 400 GR,20
001174,AVENA EN HOJUELAS LASSIE 400 GR,24
004827,AVENA EN HOJUELAS LASSIE 800 GR,12
001430,AVENA EN HOJUELAS QUAKER ORIGINAL 100 GR,1
001431,AVENA EN HOJUELAS QUAKER ORIGINAL 200 GR,30
001426,AVENA EN HOJUELAS QUAKER ORIGINAL 400 GR,24
001425,AVENA EN HOJUELAS QUAKER ORIGINAL 800 GR,12
001882,AVENA EN HOJUELAS VICONE 200 GR,1
001881,AVENA EN HOJUELAS VICONE 400 GR,1
002675,AZUCAR A GRANEL 3 KG,1
000237,AZUCAR A GRANEL 500 GR,1
005047,AZUCAR BLANCA LA PASTORA 450 GR,20
002880,AZUCAR CRISTAL DOCE DIA 1 KG,30
002872,AZUCAR CRISTAL ITAMARATI 1 KG,1
003487,AZUCAR EDICION ESPECIAL KONFIT 1 KG,20
001571,AZUCAR GLASS MONTALBAN 1 KG,10
001574,AZUCAR GLASS MONTALBAN 500 GR,20
001568,AZUCAR GLASS MONTALBAN 900 GR,10
001564,AZUCAR MORENA MONTALBAN 1 KG,10
001573,AZUCAR NATURAL KONFIT 1 KG,20
001985,AZUCAR REFINADA 100 PORCIENTO 900 GR,1
002257,AZUCAR REFINADA ALIMENTOS HORIZONTE 1 KG,1
004544,AZUCAR REFINADA AMACORP 1 KG,1
004888,AZUCAR REFINADA AZUPRO 1 KG,1
005241,AZUCAR REFINADA KRISTAL 900 GR,20
003993,AZUCAR REFINADA LA PASTORA 1 KG,20
004309,AZUCAR REFINADA LAS TRES MARIAS 1 KG,1
001572,AZUCAR REFINADA MONTALBAN 1 KG,20
003489,AZUCAR REFINADA MONTALBAN1 KL,20
005189,AZUCAR REFINADA SABANA DULCE 1 KG,20
000568,AZUCAR REFINADA SIKER 1 KG,1
004691,AZUCAR RUBIA SABANA DULCE 900 GR,1
001779,AZUCAR SABANA DULCE 1 KG,20
005353,BAMBINOS CHUPY FRUTY MIXTOS 8 UND,1
003295,BAMBINOS GRANJA 11 CM,40
000253,BAMBINOS GRANJA 18 CM,20
004339,BANDEJA DE ANIME B3-A1 500 UND,1
003913,BANDEJA DE ANIME NEGRA B3-A 1500 UND,1
005148,BAÑO DE CREMA ACEITE AGUACATE GRANJA 250 GR,12
000330,BARBARITA KG,1
004450,BARQUILLA DE FRESA FLAQUITO UND 30 GR,1
004491,BARRILLETE TUTTI FRUTTI LOKIÑO 400 GR,1
003562,BASE PARA COCINAR ARROZ CON POLLO OSOLE 300 GR,24
003564,BASE PARA COCINAR ASADO NEGRO OSOLE 300 GR,24
003563,BASE PARA COCINAR CARAOTAS NEGRAS OSOLE 300 GR,24
004061,BASE PARA COCINAR CARNE MECHADA MAGGI 50 GR,24
003561,BASE PARA COCINAR CARNE MECHADA OSOLE 300 GR,24
