codigo,descripcion,unidades_por_bulto
004973,CREMA DENTAL TRIPLE ACCION ALIDENT 50 GR,144
002211,CREMA DENTAL TRIPLE ACCION ALIDENT 75 GR,1
000656,CREMA DENTAL TRIPLE ACCION COLGATE 100 ML,72
000657,CREMA DENTAL TRIPLE ACCION COLGATE 150 ML,72
000658,CREMA DENTAL TRIPLE ACCION COLGATE 75 ML,72
004971,CREMA DENTAL TRIPLE ACCION EXTRA BLANCURA ALIDENT 50 GR,144
002400,CREMA DENTAL TRIPLE ACCION EXTRA BLANCURA COLGATE 3PAC,1
000685,CREMA DENTAL TRIPLE ACCION EXTRA BLANCURA COLGATE 60 ML,1
005256,CREMA DENTAL ULTRA FRESH ALIDENT 100 GR,96
000384,CREMA DENTAL VARIAS UND,1
004386,CREMA DE PEINAR HIDRATACION PROFUNDA GRANJA 240 ML,12
004045,CREMA DE PEINAR PARA NIÑOS EVERY NIGHT 240 ML,12
000701,CREMA DE PEINAR PROH COMPLEX DRENE 240 ML,12
002109,CREMA DE RON BARRICA 700 ML,6
004263,CREMA DE ZAPATO NEGRA CHERRY 30 GR,12
004262,CREMA DE ZAPATOS MARRON CHERRY 30 GR,12
002654,CREMA PARA CHANTILLY SUCREAM 1 LT,12
002668,CREMA PARA COCINAR MASTER TOP 1 LT,12
000618,CREMA PARA PEINAR PANTENE 16 ML,420
003637,CREMA PEINAR COLAGENO Y SABILA SAVITAL 275 ML,1
002632,CREMA P/ PEINAR CRESPO LISSO INTELIGENTE SOBRE 15 ML,1
003502,CREMI SUERO BUFILAT 800 ML,1
001967,CRISTALINA AGUA 5LTS,2
001531,CROSTATINA DE GUAYABA ONCE ONCE PAQ 6 UND 240 GR,1
005004,CRUNCHYCREMA CHOCOLATE FLIPS 200 GR,9
004876,CRUNCHYCREMA CHOCOLATE FLIPS 27 GR,120
000910,CUBITO ARROZ CON POLLO MAGGI 92 GR,48
000869,CUBITO CALDO DE COSTILLA MAGGI 8 UND 88 GR,48
000871,CUBITO CALDO DE POLLO MAGGI 16 UND 184 GR,24
000870,CUBITO DE POLLO MAGGI 8 UND 92 GR,48
000905,CUBITO MAGGI 70 UND,6
003207,CUBITO MAGGI UND,1000
000177,CUBITOS CALDO DE POLLO KNORR UND,120
000901,CUBITOS CALDO DE POLLO MAGGI 12 UND 138 GR,32
001500,CUBITOS DE CARNE IBERIA 96 GR,30
004008,CUBITO SOFRITO IBERIA 96 GR,30
002976,CUP PASTA NOODLES CAMARONES KALDINI 60 GR,24
002973,CUP PASTA NOODLES CARNE KALDINI 60 GR,24
002974,CUP PASTA NOODLES DE POLLO KALDINI 60 GR,24
002975,CUP PASTA NOODLES DE VEGETALES KALDINI 60 GR,24
003145,CURCUMA BDJ 250 GR,1
001886,DESENGRASANTE TAPA AMARILLA 1 LT,1
002016,DESENGRASANTE TK 1 LT,12
001908,DESINFECTANTE AIRES NAVIDEÑOS MANZANA Y CANELA MISTOLIN 828 ML,12
001907,DESINFECTANTE AIRES NAVIDEÑOS PINO Y ESPECIES MISTOLIN 828 ML,12
001903,DESINFECTANTE BEBE MISTOLIN 828 ML,12
000730,DESINFECTANTE BOSQUE SERENO LAS LLAVES 1 LT,12
000726,DESINFECTANTE BRISA TROPICAL VINAGRE ACTIVO LAS LLAVES 1 LT,12
000729,DESINFECTANTE BRISA TROPICAL VINAGRE ACTIVO LAS LLAVES 500 ML,24
001902,DESINFECTANTE ESPIRITU JOVEN  MISTOLIN 828 ML,12
005294,DESINFECTANTE FLORAL TK 1 LT,12
004928,DESINFECTANTE FRESC. RELAJANTE LAS LLAVES 1 LT,12
001905,DESINFECTANTE FRESCURA FRUTAL MISTOLIN 828 ML,12
003357,DESINFECTANTE LAS LLAVES BOSQUE SERENO 500 ML,24
004703,DESINFECTANTE LAVANDA FABULOSO 1 LT,12
004804,DESINFECTANTE LAVANDA FABULOSO 500 ML,24
005011,DESINFECTANTE LAVANDA TK 1 LT,12
001910,DESINFECTANTE LIMON MISTOLIN 828 ML,12
000725,DESINFECTANTE MAREA CRISTALINA LAS LLAVES 1 LT,12
000770,DESINFECTANTE MAREA CRISTALINA LAS LLAVES 500 ML,24
001911,DESINFECTANTE NARANJA MISTOLIN 828 ML,12
001909,DESINFECTANTE REGULAR PINO PINESOL 828 ML,12
001904,DESINFECTANTE ROCIO MISTOLIN 828 ML,12
001906,DESINFECTANTE SUAVIDAD DE ALGODÓN MISTOLIN 828 ML,12
002013,DESINFECTANTE TK 1 LT,12
002158,DESODORANTE ACTIVE ALIVE 50 GR,1
002159,DESODORANTE AUDAZ ALIVE 50 GR,1
000702,DESODORANTE BABY PINK EVERY NIGHT 90 GR,12
002154,DESODORANTE BAMBOO ALIVE,1
004712,DESODORANTE BARRA DERMO LADY SPEED STICK  45 GR,12
004714,DESODORANTE BARRA PRO5 LADY SPEED STICK 45 GR,12
004711,DESODORANTE BARRA SPEED STICK X5 50 GR,12
000045,DESODORANTE BARRA SPORT OLD SPICE 85 GR,12
004713,DESODORANTE BARRA STAINGUARD SPEED STICK 50 GR,12
002157,DESODORANTE CLASSIC ALIVE 50 GR,1
002399,DESODORANTE CLINICAL COMPLETE LADY SPEED STICK 30 GR,36
003352,DESODORANTE CLINICAL LADY SPEED STICK 9 GR,480
002398,DESODORANTE CLINICAL SPEED STICK 30 GR,36
004132,DESODORANTE COOL WAVE GILLETTE 150 ML,12
004960,DESODORANTE CREMA DRY SPEED STICK 70 GR,18
004961,DESODORANTE CREMA POWDER LADY SPEED STICK 70 GR,18
000638,DESODORANTE CREMA XTREME SPEED STICK 9 GR,432
002156,DESODORANTE FLORAL ALIVE 50 GR,1
000612,DESODORANTE GEL POWDER PROTECT COTTON SECRET 45 GR,12
000613,DESODORANTE GEL SPECIALIZE GILLETE 45 GR,12
002152,DESODORANTE INTENSA ALIVE 50 GR,1
000654,DESODORANTE LEÑA SPRAY OLD SPICE 96 GR,1
000703,DESODORANTE NATURELLE EVERY NIGHT 90 GR,12
002422,DESODORANTE NORMAL CREMA BALANCE 32 GR,1
002155,DESODORANTE OCEANIC ALIVE 50 GR,1
000617,DESODORANTE POWDER PROTECT COTTON BARRA SECRET 45 GR,1
000637,DESODORANTE PRACTI-CREMA XTREME NIGHT SPEED STICK 30 GR,36
002402,DESODORANTE PRACTI LADY SPEED STICK 30 GR,36
002144,DESODORANTE ROLL-ON AUDAZ ALIVE 50 ML,1
002203,DESODORANTE ROLL-ON CABALLERO ALIVE 80 ML,1
004174,DESODORANTE ROLL-ON COOL WAVE GILLETTE 60 GR,12
004755,DESODORANTE ROLL-ON EXTRA PROTECCION X5 SPEED STICK 50 ML,12
002145,DESODORANTE ROLL-ON FLORAL ALIVE 50 ML,1
004176,DESODORANTE ROLL-ON LEÑA OLD SPICE 52 GR,12
004175,DESODORANTE ROLL-ON POWDER PROTECT COTTON SECRET 60 GR,1
004173,DESODORANTE ROLL-ON POWER RUSH GILLETTE 60 GR,12
004715,DESODORANTE ROLL-ON PRO5 LADY SPEED STICK 50 ML,12
000210,DESODORANTE SAVE UP TP SECRET 2X73 GR,6
000635,DESODORANTE SPEED STICK 9 GR,120
004716,DESODORANTE SPRAY LADY SPEED STICK PRO5 150 ML / 91 GR,12
004710,DESODORANTE SPRAY SPEED STICK X5 150 ML / 91 GR,12
000636,DESODORANTE TALC CREM 2X1 LADY SPEED STICK 9 GR,432
002153,DESODORANTE WOMAN FRESQUISSIMA ALIVE 50 GR,1
000626,DETERGENTE EN POLVO 10 MULTIBENEFICIOS RINDEX 125 GR,60
002221,DETERGENTE EN POLVO 3B+ 1 KG,18
002222,DETERGENTE EN POLVO 3B+ 400 GR,45
005320,DETERGENTE EN POLVO ACE 2 KG,8
004942,DETERGENTE EN POLVO ACE 400 GR,24
000631,DETERGENTE EN POLVO ACE LIMPIEZA COMPLETA 500 GR,18
000614,DETERGENTE EN POLVO ACE LIMPIEZA COMPLETA 800 GR,15
000451,DETERGENTE EN POLVO AMARILLO OSO BLANCO 200 GR,1
000457,DETERGENTE EN POLVO AMARILLO OSO BLANCO 800 GR,1
005321,DETERGENTE EN POLVO ARIEL 2 KG,8
000452,DETERGENTE EN POLVO AZUL OSO BLANCO 200 GR,1
004297,DETERGENTE EN POLVO AZUL T. TIPO ROPA ALIVE 200 GR,50
000719,DETERGENTE EN POLVO BEBE LAS LLAVES 400 GR,30
000720,DETERGENTE EN POLVO BEBE LAS LLAVES 900 GR,20
005297,DETERGENTE EN POLVO BEBE PREMIO 400 GR,50
005296,DETERGENTE EN POLVO BEBE PREMIO 800 GR,25
000077,DETERGENTE EN POLVO BEBE VALE 400 GR,40
000080,DETERGENTE EN POLVO BEBE VALE 900 GR,20
003338,DETERGENTE EN POLVO BLANCOS DIAMANTE ACE 900 GR,1
002188,DETERGENTE EN POLVO BLANQUEADOR ALIVE 1 KG,12
002189,DETERGENTE EN POLVO BLANQUEADOR ALIVE 500 GR,24
003846,DETERGENTE EN POLVO CARICIAS DE BEBE VALE 400 GR,40
003576,DETERGENTE EN POLVO CARICIAS DE BEBE VALE 900 GR,20
004943,DETERGENTE EN POLVO C/ TOQUE DOWNY ARIEL 800 GR,15
000610,DETERGENTE EN POLVO DOBLE PODER ARIEL 850 GR,1
003823,DETERGENTE EN POLVO EXPERIENCIA CITRICA VALE 400 GR,40
003575,DETERGENTE EN POLVO EXPERIENCIA CITRICA VALE 900 GR,20
002204,DETERGENTE EN POLVO FLORAL ALIVE 1 KG,12
002209,DETERGENTE EN POLVO FLORAL ALIVE 200 GR,1
002205,DETERGENTE EN POLVO FLORAL ALIVE 500 GR,24
000711,DETERGENTE EN POLVO FLORAL LAS LLAVES 400 GR,30
000712,DETERGENTE EN POLVO FLORAL LIMPIEZA EFECTIVA LAS LLAVES 900 GR,20
000459,DETERGENTE EN POLVO FLORAL OSO BLANCO 1 KG,1
000731,DETERGENTE EN POLVO FRAGANCIA CITRICA MULTI CLEAN 400 GR,30
000732,DETERGENTE EN POLVO FRAGANCIA CITRICA MULTI CLEAN 900 GR,20
000737,DETERGENTE EN POLVO FRAGANCIA FLORAL LAS LLAVES 900 ML,1
000733,DETERGENTE EN POLVO FRAGANCIA FLORAL MULTI CLEAN 400 GR,30
000734,DETERGENTE EN POLVO FRAGANCIA FLORAL MULTI CLEAN 900 GR,20
000735,DETERGENTE EN POLVO FRESCURA PRIMAVERA LAS LLAVES 400 GR,30
000736,DETERGENTE EN POLVO FRESCURA PRIM. LAS LLAVES 900 GR,20
002201,DETERGENTE EN POLVO LIMON ALIVE 1 KG,12
002202,DETERGENTE EN POLVO LIMON ALIVE 500 GR,24
000709,DETERGENTE EN POLVO LIMON LAS LLAVES 400 GR,30
000710,DETERGENTE EN POLVO LIMON LAS LLAVES 900 GR,20
003824,DETERGENTE EN POLVO MAXIMO PODER VALE 400 GR,40
003577,DETERGENTE EN POLVO MAXIMO PODER VALE 900 GR,20
002223,DETERGENTE EN POLVO OXY 1 KG,18
002103,DETERGENTE EN POLVO OXY 400 GR,45
002210,DETERGENTE EN POLVO PERLAS BLANQUEADOR ALIVE 200 GR,1
002207,DETERGENTE EN POLVO PERLAS BLANQUEADOR ALIVE 500 GR,24
002206,DETERGENTE EN POLVO PERLAS BLANQUEADORAS ALIVE 1 KG,12
004937,DETERGENTE EN POLVO PODER Y CUIDADO ARIEL 400 GR,24
004936,DETERGENTE EN POLVO PODER Y CUIDADO  ARIEL 800 GR,15
000498,DETERGENTE EN POLVO PREMIO 400 GR,50
000499,DETERGENTE EN POLVO PREMIO 800 GR,25
004376,DETERGENTE EN POLVO REGULAR ACE 4 KG,1
003341,DETERGENTE EN POLVO REGULAR ACE 5 KG,3
000632,DETERGENTE EN POLVO REGULAR ARIEL 500 GR,18
002192,DETERGENTE EN POLVO SUAVIZANTE ALIVE 1 KG,12
002208,DETERGENTE EN POLVO SUAVIZANTE ALIVE 200 GR,1
002191,DETERGENTE EN POLVO SUAVIZANTE ALIVE 500 GR,24
000615,DETERGENTE EN POLVO TOQUE DE DOWNY ARIEL 750 GR,1
000450,DETERGENTE EN POLVO VERDE OSO BLANCO 200 GR,1
000721,DETERGENTE LIQUIDO BEBE LAS LLAVES 1 LT,12
004864,DETERGENTE LIQUIDO BEBE WOOLITE 900 ML,12
000727,DETERGENTE LIQUIDO DELI LAS LLAVES 525 ML,12
004863,DETERGENTE LIQUIDO PROTECCION Y CUIDADO WOOLITE 900 ML,12
004862,DETERGENTE LIQUIDO ROPA OSCURA WOOLITE 900 ML,12
002015,DETERGENTE LIQUIDO TK 1 LT,12
005273,DETERGENTE POLVO LIMP. ACTIVA CITRICA LAS LLAVES 400 GR,30
005272,DETERGENTE POLVO LIMP. ACTIVA CITRICA LAS LLAVES 900 GR,20
005271,DETERGENTE POLVO LIMP. ACTIVA FLORAL LAS LLAVES 400 GR,30
005258,DETERGENTE POLVO LIMP. ACTIVA FLORAL LAS LLAVES 900 GR,20
001467,DETODITO RESUELTO FRITO LAY 130 GR,1
004380,DE TODITO RESUELTO FRITO LAY 45 GR,1
005083,DE TODITO RESUELTO PLUS FRITO LAY 110 GR,18
001466,DE TODITO RESUELTO XXL FRITO LAY 400 GR,1
001803,DIABLITOS EMPAQUE ALUMINIO UNDERWOOD 50 GR,48
001097,DIABLITOS UNDERWOOD 100 GR,24
001106,DIABLITOS UNDERWOOD 115 GR,24
001090,DIABLITOS UNDERWOOD 54 GR,24
001445,DORITO FLAMING HOT FRITO LAY 140 GR,16
004968,DORITOS DINAMITA FLAMING HOT FRITO LAY 150 GR,24
004326,DORITOS DINAMITA LIMON TAQUERO FRITO LAY 150 GR,24
001443,DORITOS MEGA QUESO FRITO LAY 150 GR,20
004379,DORITOS MEGA QUESO FRITO LAY 45 GR,1
001456,DORITOS MEGA QUESO XXL FRITO LAY 420 GR,8
000229,DURAZNO KG,1
001437,ENCURTIDOS EN VINAGRE EUREKA 200 GR,24
004554,ENDULZANTE 0 CAL. MONTALBAN 400 GR,4
004925,ENDULZANTE LIQUIDO SPLENDA 50 ML,12
001567,ENDULZANTE MONTALBAN 0 CALORIAS 48 GR,12
001576,ENDULZANTE MONTALBAN 112 GR,12
001575,ENDULZANTE MONTALBAN 500 GR,20
000549,ENDULZANTE ORIGINAL SPLENDA 100 SOBRES,12
004744,ENDULZANTE ORIGINAL SPLENDA 200 SOBRES,12
000547,ENDULZANTE ORIGINAL SPLENDA 25 SOBRES,24
000548,ENDULZANTE ORIGINAL SPLENDA 50 SOBRES,12
004745,ENDULZANTE ORIGINAL SPLENDA 700 SOBRES,1
004708,ENJUAGUE BUCAL PLAX ICE COLGATE 250 ML,12
005013,ENJUAGUE BUCAL PLAX ICE COLGATE 500 ML,12
004707,ENJUAGUE BUCAL PLAX ICE INFINITY COLGATE 500 ML,12
003908,ENVOPLAST ENVOLTURA PLASTICA EURO FILM UND,1
000528,ENVOPLAST ENVOLTURA PLASTICA UMIZ 35 MT,1
004211,ENVOPLAST WYNWOOD 30 X 30 CM,24
002677,ESPARRAGO KG,1
000299,ESPINACA KG,1
003180,ESPINACAS PAQUETE,1
005268,ESPIRAL REPELENTE LANJU 5 UND,1
003123,ESPONJA BRILLANTES,1
000588,ESPONJA DE ALAMBRE 4 UND,1
002197,ESPONJA  DOBLE USO ALICLEAN,500
005037,ESPONJA DOBLE USO SALVA UÑAS TK,30
004828,ESPONJA DOBLE USO TK,30
003326,ESPONJA DOBLE USO VRAL,1
000485,ESPONJA MULTIUSO SCOUR POWER UND,1
005036,ESPONJA MULTIUSOS PLATEADA TK,30
001584,ESPONJAS DE JABON LUSTRILLO 5 UND,1
004029,ESPUMA DE AFEITAR GILLETTE 311 GR,12
004788,ESPUMA DE CARNAVAL 1000 ML,1
002345,ESPUMA DE CARNAVAL 1500 ML,1
004128,ESPUMA PARA AFEITAR CARBONO GILLETTE 150 GR,12
003694,EXTRACTO DE TOMATE OLE 340 GR,24
003567,EXTRACTO DE TOMATE OSOLE 300 GR,1
001023,FANTASIA FRUTY AROS LIGHT 240 GR,1
003843,FIDEO CREMOSO FRAGO EXPRESS RENTA 80 GR,1
003844,FIDEO CREMOSO PICANHA EXPRESS RENATA 80 GR,1
003698,FIDEO EXPRESS GALLINA RENATA 85 GR,50
003701,FIDEO EXPRESS QUESO RENATA 88 GR,50
003700,FIDEO EXPRESS VERDURAS RENATA 85 GR,50
005120,FIDEOS CORTADOS ALLEGRI 500 GR,12
003699,FIDEOS DE CARNE EXPRESS RENATA 85 GR,50
000003,FILET DE PECHUGA DEL CORRAL KG,1
003158,FILET DE POLLO KG,1
001247,FLAN SIN CARAMELO SONRISA 46 GR,48
004934,FLAN SIN CARAMELO SONRISSA 92 GR,24
001716,FLAQUITO AVELLANA NEVADO ST. MORIZT 30 GR,144
001714,FLAQUITO AVELLANA ST. MORIZT 30 GR,144
001744,FLAQUITO FRESA ESTUCHE 5X30 GR,24
001720,FLAQUITO RELLENO DE AVELLANA NEVADO ST. MORITZ 2 UND 30 GR,40
001715,FLAQUITO RELLENO DE AVELLANA ST. MORITZ 2 UND 30 GR,40
003183,FLOR DE JAMAICA PAQUETE,1
001762,FORORO ENDULZADO LA LUCHA 900 GR,1
001582,FORORO KEL 225 GR,24
001761,FORORO LA LUCHA 900 GR,1
003300,FOSFORO CABALLO ROJO,288
003287,FRAMBUESAS BDJ,1
004559,FRANGELICO 1 LT,12
000185,FRESAS BANDEJA,1
000556,FRESAS COLONIA TOVAR BDJ,1
000331,FRESAS KG,1
000507,FRESAS - MORAS BDJ,1
003208,FRIJOL BAYO A GRANEL 500 GR,1
004784,FRIJOL PICO NEGRO EL MAIZALITO 400 GR,30
003653,FRUTICAS SURTIDAS COLOMBINA 100 UND,16
003878,FRUVER CESTAS 1.5,1
004692,FRUVER CESTAS 1.8,1
003879,FRUVER CESTAS 2.2,1
003880,FRUVER CESTAS 2.50,1
004829,GALLETA BOM BOM CHARMY CALEDONIA 192 GR,1
004106,GALLETA BROWNIE CHARMY CALEDONIA 192 GR,1
001395,GALLETA CHARMY NARANJA IMPORT. CALEDONIA 192 GR,24
002285,GALLETA CHIPS AHOY CHOCOLATE NABISCO 168 GR (NO USAR),1
004319,GALLETA CHOC/AVELLANA CARLTON SAMBA 32 GR,1
004604,GALLETA CHOCO CHOCO TIP TOP 96 GR,1
004127,GALLETA CHOCOLATE MARILU PUIG 18 GR,1
002406,GALLETA CHOCOLATE MUUU 408 GR,24
004811,GALLETA CHOCOLATE OREO BOOM 216 GR,1
004770,GALLETA CHOCOLATE OREO LATA 288 GR,1
003951,GALLETA CHOCOLATE VINOTINTO OREO 192 GR,1
000762,GALLETA CLUB SOCIAL NABISCO 156 GR,1
002303,GALLETA CLUB SOCIAL NVA ORIGINAL NABISCO 156 GR,30
002853,GALLETA COKIES CHOCOLATE VITARELA 80 GR,1
004117,GALLETA DE CHOCOLATE FESTIVAL UND 33.6 GR,1
004368,GALLETA DE CHOCOLATE MOST. OREO DISPLAY (NO USAR),1
004436,GALLETA DE CHOCOLATE NAVIDAD OREO 96 GR,56
004390,GALLETA DE CHOCOLATE TIPO AMERICANO NAVIDAD OREO 192,28
004391,GALLETA DE CHOCOLATE WHITE FUDGE OREO 192 GR,26
005082,GALLETA DE LIMON FESTIVAL 201.6 GR,36
005315,GALLETA DE MANTEQUILLA MIX 114 GR WYNCO,24
005316,GALLETA DE MANTEQUILLA MIX 270 GR WYNCO,12
004435,GALLETA FRESA MOSTRADOR OREO 48 GR,128
001628,GALLETA FRUTICAS MULTIPACK TRIGO DE ORO 150 GR,30
001631,GALLETA FRUTICAS TRIGO DE ORO 90 GR,1
001139,GALLETA KATY VAINILLA 128 GR,1
001150,GALLETA KATY VAINILLA UND 32 GR,1
002174,GALLETA MARIA CALEDONIA 168 GR,1
004138,GALLETA MARIA EXTRA FINA PUIG 235 GR,24
004906,GALLETA MARIA ITALIA 150 GR,1
001123,GALLETA MARIA MINI PUIG 200 GR,16
004126,GALLETA MARILU CHOCOLATE 324 GFR,1
001121,GALLETA MARILU CHOCOLATE PUIG 216 GR,24
001147,GALLETA MARILU MINI CHOCOLATE PUIG 100 GR,24
005270,GALLETA MARILU VAINILLA 18 GR,144
001118,GALLETA MARILU VAINILLA PUIG 216 GR,24
001119,GALLETA MARILU VAINILLA PUIG DISPLEY 24 UND,6
001317,GALLETA MINI CANELITAS 300 GR,1
000933,GALLETA MINI SUSY SAVOY NESTLE 25 GR,432
004031,GALLETA OREO CHOCOLATE VINOTINTO 96 GR,1
002312,GALLETA OREO DE FRESA 36 GR,24
002308,GALLETA OREO DE FRESA 6 UND 216 GR,1
001624,GALLETA PUNTO ROJO TRIGO DE ORO 24 UND,1
002418,GALLETA RECREO FESTIVAL 648 GR,1
002419,GALLETA RECREO FESTIVAL  UND 54 GR,1
002622,GALLETAS 3 TACOS SALRICAS 282 GR,1
002634,GALLETAS 3 TACOS SALTITACOS 305 GR,1
002623,GALLETAS 5 TACOS SALRICAS 470 GR,1
002626,GALLETAS 7 TACOS SALRICAS 590 GR,1
002840,GALLETA SANDWICH CHOCO/VAINILLA RENATA 112 GR,36
001394,GALLETAS CHARMY CHOCOLATE CALEDONIA 192 GR,24
001393,GALLETAS CHARMY FRESA CALEDONIA 192 GR,24
001391,GALLETAS CHARMY MOKA CALEDONIA 192 GR,24
001392,GALLETAS CHARMY VAINILLA CALEDONIA 192 GR,24
000760,GALLETAS CHIPS AHOY NABISCO 168 GR,32
000745,GALLETAS CHIPS TODDY 24 GR,1
003822,GALLETAS CHIQUILIN CINNAMON PUIG 200 GR,1
001297,GALLETAS CHOCO CHOCO TOMA 2 4 UND 45 GR,1
002808,GALLETAS CHOCOLATE BLANCO TORTHINAS ISABELA 140 GR,50
000945,GALLETAS CHOCOLATE MINI SAMBA 35 UND 560 GR,8
004147,GALLETAS CHOCOMANIA CALEDONIA 192 GR,24
004320,GALLETAS CHOCOTRIO SABOR A CHOCOLATE NESTLE 90 GR,48
004773,GALLETAS CHOCO/VAINILLA DUO 180 GR,1
004884,GALLETAS CLUB SOCIAL INTEGRAL MULTICEREAL NABISCO 156 GR,30
002304,GALLETAS CLUB SOCIAL INTEGRAL NABISCO 156 GR,30
005075,GALLETAS CLUB SOCIAL INTEGRAL NABISCO 234 GR,20
003808,GALLETAS CLUB SOCIAL ORIGINAL NABISCO 234 GR,20
001626,GALLETAS COCADITAS MULTIPACK TRIGO DE ORO 150 GR,30
000881,GALLETAS COCOSETTE MAXI NESTLE 4 UND 200 GR,60
000932,GALLETAS COCOSETTE MINI NESTLE 25 GR,432
000947,GALLETAS COCOSETTE NESTLE 50 GR,216
001296,GALLETAS CON CHISPAS CHOCOLATE TOMA2 4 UND 45 GR,1
003855,GALLETAS CON CHOCOLATE DARK KITKAT 41.5 GR,96
002764,GALLETAS CON CHOCOLATE KITKAT 41.5 GR,96
003856,GALLETAS CON CHOCOLATE WHITE KITKAT 41.5 GR,96
001134,GALLETAS COOKY CHIPS PUIG 200 GR,16
005131,GALLETAS CRAKEÑAS CLUB 192 GR,24
002309,GALLETAS DE AREQUIPE SORBETICO NABISCO 4 UND 25 GR,1
004810,GALLETAS DE CHOCOLATE BOOM OREO 108 GR,48
001129,GALLETAS DE CHOCOLATE ELITE PUIG 100 GR,24
002413,GALLETAS DE CHOCOLATE FESTIVAL 403 GR,24
002807,GALLETAS DE CHOCOLATE ISABELA 140 GR,50
001627,GALLETAS DE CHOCOLATE MULTIPACK TRIGO DE ORO 150 GR,30
003814,GALLETAS DE CHOCOLATE OREO 192 GR,28
004477,GALLETAS DE CHOCOLATE OREO  48 GR,128
003930,GALLETAS DE CHOCOLATE OREO 96 GR,56
002870,GALLETAS DE CHOCOLATE RADICAL DALLAS 120 GR,1
003929,GALLETAS DE CHOCOLATE TIPO AMERICANO OREO 192 GR,28
003865,GALLETAS DE CHOCOLATE TIPO AMERICANO OREO 96 GR,56
001625,GALLETAS DE CHOCOLATE TRIGO DE ORO 90 GR,30
004743,GALLETAS DE FRESA FESTIVAL 33.6 GR,1
003656,GALLETAS DE FRESA FESTIVAL 403 GR,24
002809,GALLETAS DE FRESA/MORANGO ISABELA TORTHINAS 140 GR,50
003805,GALLETAS DE FRESA OREO 192 GR,28
003806,GALLETAS DE FRESA OREO 96 GR,56
000766,GALLETAS DE FRESA SORBETICO 4 UND 100 GR,28
005136,GALLETAS DELICIAS DE GUAYABA OREO 192 GR,28
005137,GALLETAS DELICIAS DE GUAYABA OREO 96 GR,56
002810,GALLETAS DE LIMON TORTHINAS ISABELA 140 GR,50
004681,GALLETAS DE LIMON TV PUIG 77 GR,36
001127,GALLETAS DE LIMON TV PUIG 90 GR,24
001301,GALLETAS DE MAIZ SALMAS HORNEADAS SANISSIMO 8 UND 144 GR,1
002828,GALLETAS DE MANTEQUILLA Y CHOCOLATE RENATA 133 GR,36
002830,GALLETAS DE MANTEQUILLA Y COCO RENATA 133 GR,36
002829,GALLETAS DE MANTEQUILLA Y LECHE RENATA 133 GR,36
001148,GALLETAS DE SODA EL SOL PUIG 240 GR,24
002310,GALLETAS DE SODA PREMIUM 156 GR,24
001116,GALLETAS DE SODA PUIG 240 GR,24
001128,GALLETAS DE VAINILLA ELITE  PUIG 100 GR,24
003655,GALLETAS DE VAINILLA FESTIVAL 403 GR,24
003807,GALLETAS DE VAINILLA OREO 192 GR,28
004482,GALLETAS DE VAINILLA OREO 48 GR,128
004048,GALLETAS DE VAINILLA OREO 96 GR,56
002287,GALLETAS DE VAINILLA SORBETICO 105 GR,30
004818,GALLETAS DUCALES NOEL 162 GR,1
002414,GALLETAS DUCALES NOEL 294 GR,24
005085,GALLETAS DUE CHEESE CAKE ISABELA TORTHINAS 140 GR,50
005086,GALLETAS DUE CHOCOLATE BLANCO ISABELA TORTHINAS 140 GR,50
005084,GALLETAS DUE FRESA ISABELA TORTHINAS 140 GR,50
005352,GALLETAS DULCES NAVIDAD NOEL 100 GR,1
001133,GALLETAS FAMILY CLUB PUIG 300 GR,24
004902,GALLETAS FRESA FESTIVAL 6 X 4 201.6 GR,36
000944,GALLETAS FRESA SAMBA 16 GR,280
004116,GALLETAS FUDGE OREO 156 GR,28
000765,GALLETAS HONEY BELVITA NABISCO 252 GR,20
000764,GALLETAS KRAKER BRAN BELVITA NABISCO 234 GR,20
002301,GALLETAS MANZANA Y CANELA HONEY BELVITA NABISCO 252 GR,20
001407,GALLETAS MARIA CACAO CALEDONIA 150 GR,24
004800,GALLETAS MARIA CALEDONIA 150 GR,24
002176,GALLETAS MARIA CANELA CALEDONIA 150 GR,24
001141,GALLETAS MARIA & CHOCOLATE PUIG 272 GR,1
001151,GALLETAS MARIA DELICIA PUIG 34 GR,108
001140,GALLETAS MARIA DELICIAS CHOCOLATE PUIG 136 GR,20
002173,GALLETAS MARIA PREMIUM CALEDONIA 252 GR,24
001144,GALLETAS MARIA SELECTA INTEGRAL PUIG 250 GR,24
001122,GALLETAS MARIA SELECTA PUIG 250 GR,24
001145,GALLETAS MARIA SELECTA SIN AZUCAR PUIG 250 GR,24
001120,GALLETAS MARILU CHOCO-VAINILLA PUIG 216 GR,24
001142,GALLETAS MARILU FRESA PUIG 216 GR,24
001146,GALLETAS MARILU MINI VAINILLA PUIG 100 GR,24
001312,GALLETAS MINI CANELITAS MARINELA 480 GR,1
000768,GALLETAS MINI CHIPS VAINILLA NABISCO 180 GR,24
000879,GALLETAS MINI FRESA SAMBA 35 UND 560 GR,8
005053,GALLETAS MINI MARIA LONCHERA 180 GR,16
001126,GALLETAS NIC NAC PUIG 200 GR,1
001117,GALLETA SODA INTEGRAL PUIG 290 GR,24
002307,GALLETAS OREO AMERICANO 6 UND 216 GR,24
002311,GALLETAS OREO FRESA 108 GR,1
002300,GALLETAS OREO FUDGE 6 UND 168 GR,24
000758,GALLETAS OREO VAINILLA 108 GR,1
